Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,21,Stephane,,Verguet,Stéphane Verguet; Ole F Norheim,Estimating and Comparing Health and Financial Risk Protection Outcomes in Economic Evaluations,Value in Health,No,2.0,,238-246,February,,,2022,https://pubmed.ncbi.nlm.nih.gov/35094797/,No issue number.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,02/01/2022,Yes,Verguet Stéphane and Ole F Norheim,"Verguet Stéphane and Ole F Norheim. 2022. Estimating and Comparing Health and Financial Risk Protection Outcomes in Economic Evaluations. Value in Health 2.0, no. nan (February): 238-246."
,Journal Article,84,David,,Bloom,Manuela Di Fusco; Diana Mendes; Lotte Steuten; David E Bloom; Michael Drummond; Katharina Hauck; Jonathan Pearson-Stuttard; Rachel Power; David Salisbury; Adrian Towse; Julie Roiz; Gabor Szabo; Jingyan Yang; Kinga Marczell,The Societal Value of Vaccines: Expert-Based Conceptual Framework and Methods Using COVID-19 Vaccines as a Case Study,Vaccines (Basel),,11.0,2,,January,,,2023,https://pubmed.ncbi.nlm.nih.gov/36851112/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,01/01/2023,Yes,"Fusco Manuela Di, Diana Mendes, Lotte Steuten, David E Bloom, Michael Drummond, Katharina Hauck, Jonathan Pearson-Stuttard, Rachel Power, David Salisbury, Adrian Towse, Julie Roiz, Gabor Szabo, Jingyan Yang and Kinga Marczell","Fusco Manuela Di, Diana Mendes, Lotte Steuten, David E Bloom, Michael Drummond, Katharina Hauck, Jonathan Pearson-Stuttard, Rachel Power, David Salisbury, Adrian Towse, Julie Roiz, Gabor Szabo, Jingyan Yang and Kinga Marczell. 2023. The Societal Value of Vaccines: Expert-Based Conceptual Framework and Methods Using COVID-19 Vaccines as a Case Study. Vaccines (Basel) 11.0, no. 2 (January): nan."
,Journal Article,4,Christopher,Robert,Sudfeld,M K Quinn; Karen M Edmond; Wafaie W Fawzi; Lisa Hurt; Betty R Kirkwood; Honorati Masanja; Alfa J Muhihi; Sam Newton; Ramadhani A Noor; Paige L Williams; Christopher R Sudfeld; Emily R Smith,Non-specific effects of BCG and DTP vaccination on infant mortality: An analysis of birth cohorts in Ghana and Tanzania,Vaccine,No,40.0,27,3737-3745,June,,,2022,https://pubmed.ncbi.nlm.nih.gov/35618557/,Epub: May 2022,,,yes,,,,,,,,Summer - Kiki,,abstract-content selected,06/01/2022,Yes,"Quinn M K, Karen M Edmond, Wafaie W Fawzi, Lisa Hurt, Betty R Kirkwood, Honorati Masanja, Alfa J Muhihi, Sam Newton, Ramadhani A Noor, Paige L Williams, Christopher R Sudfeld and Emily R Smith","Quinn M K, Karen M Edmond, Wafaie W Fawzi, Lisa Hurt, Betty R Kirkwood, Honorati Masanja, Alfa J Muhihi, Sam Newton, Ramadhani A Noor, Paige L Williams, Christopher R Sudfeld and Emily R Smith. 2022. Non-specific effects of BCG and DTP vaccination on infant mortality: An analysis of birth cohorts in Ghana and Tanzania. Vaccine 40.0, no. 27 (June): 3737-3745."
,Journal Article,21,Stephane,,Verguet,Stéphane Verguet; Shane Murphy; Benjamin Anderson; Kjell Arne Johansson; Roger Glass; Richard Rheingans,Public finance of rotavirus vaccination in India and Ethiopia: an extended cost-effectiveness analysis,Vaccine,No,31.0,42,,October,,,2013,https://pubmed.ncbi.nlm.nih.gov/23871824/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,10/01/2013,Yes,"Verguet Stéphane, Shane Murphy, Benjamin Anderson, Kjell Arne Johansson, Roger Glass and Richard Rheingans","Verguet Stéphane, Shane Murphy, Benjamin Anderson, Kjell Arne Johansson, Roger Glass and Richard Rheingans. 2013. Public finance of rotavirus vaccination in India and Ethiopia: an extended cost-effectiveness analysis. Vaccine 31.0, no. 42 (October): nan."
,Journal Article,21,Stephane,,Verguet,Stéphane Verguet; Mira Johri; Shaun K. Morris; Cindy L. Gauvreau; Prabhat Jha; Mark Jit,Controling measles using supplemental immunization activities: a mathematical model to inform optimal policy,Vaccine,No,33.0,10,1291-1296,March,,,2015,https://www.sciencedirect.com/science/article/pii/S0264410X14016077,,,,,,,,,,,,Summer - Kiki,,abstract author,03/01/2015,Yes,"Verguet Stéphane, Mira Johri, Shaun K. Morris, Cindy L. Gauvreau, Prabhat Jha and Mark Jit","Verguet Stéphane, Mira Johri, Shaun K. Morris, Cindy L. Gauvreau, Prabhat Jha and Mark Jit. 2015. Controling measles using supplemental immunization activities: a mathematical model to inform optimal policy. Vaccine 33.0, no. 10 (March): 1291-1296."
,Journal Article,68,Sebastian,,Bauhoff,"Yuli Lily Hsieh; Summer Rak, Gillian K SteelFisher, Sebastian Bauhoff",Effect of the Suspension of the J&J COVID-19 Vaccine on Vaccine Hesitancy in the United States,Vaccine,,40.0,3,424-427,January,,,2022,https://pubmed.ncbi.nlm.nih.gov/34903374/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,01/01/2022,Yes,"Hsieh Yuli Lily, Summer Rak, Gillian K SteelFisher and Sebastian Bauhoff","Hsieh Yuli Lily, Summer Rak, Gillian K SteelFisher and Sebastian Bauhoff. 2022. Effect of the Suspension of the J&J COVID-19 Vaccine on Vaccine Hesitancy in the United States. Vaccine 40.0, no. 3 (January): 424-427."
,Journal Article,69,Michael,,Reich,Keiko Kunitoki; Masafumi Funato; Makiko Mitsunami; Takahiro Kinoshita; Michael R Riech,Access to HPV Vaccination in Japan: Increasing Social Trust to Regain Vaccine Confidence,Vaccine,,39.0,41,6104-6110,October,,,2021,https://pubmed.ncbi.nlm.nih.gov/34507858/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,10/01/2021,No,"Kunitoki Keiko, Masafumi Funato, Makiko Mitsunami, Takahiro Kinoshita and Michael R Riech","Kunitoki Keiko, Masafumi Funato, Makiko Mitsunami, Takahiro Kinoshita and Michael R Riech. 2021. Access to HPV Vaccination in Japan: Increasing Social Trust to Regain Vaccine Confidence. Vaccine 39.0, no. 41 (October): 6104-6110."
,Journal Article,91,Ed,,Glaeser,Ed Glaeser,Urban Resilience,Urban Studies,,59.0,1,3-35,January,,,2022,https://journals.sagepub.com/doi/full/10.1177/00420980211052230,,,,,,,,,,,,Summer - Maceo,,"id=""abstract""",01/01/2022,Yes,Glaeser Ed,"Glaeser Ed. 2022. Urban Resilience. Urban Studies 59.0, no. 1 (January): 3-35."
,Book Chapters,1,Raffaella,,Sadun,John Haltiwanger; Erik Hurst; Javier Miranda; Antoinette Schoar,Are Founder CEOs Good Managers,University of Chicago Press,No,75.0,,153-185,,,Measuring Entrepreneurial Businesses: Current Knowledge and Challenges,2017,https://press.uchicago.edu/ucp/books/book/chicago/M/bo25872185.html,No quarter/month or issue number.,,,yes,,,,,,,,Summer - Kiki,,,01/01/2017,No,"Haltiwanger John, Erik Hurst, Javier Miranda and Antoinette Schoar",Skipped
,Book Chapters,1,Raffaella,,Sadun,Timothy Dunne; J. Bradford Jensen; Mark J. Roberts,"Entry, Exit and Labour Productivity in U.K. Retailing: Evidence from Micro Data",University of Chicago Press,No,,,,,,Producer Dynamics: New Evidence from Micro Data,2009,https://press.uchicago.edu/ucp/books/book/chicago/P/bo6038560.html,"No quarter/month, page numbers, issue number, or volume number. I had to find my own link, found one with the correct publisher.",,,yes,,,,,,,,Summer - Kiki,,,01/01/2009,No,"Dunne Timothy, J. Bradford Jensen and Mark J. Roberts",Skipped
,Book Chapter,33,Juan,,Saavedra,Evan Riehl; Juan E. Saavedra; Miguel Urquiola,Learning and Earning: An Approximation to College Value Added in Two Dimensions,University of Chicago Press,No,,,,November,,Productivity in Higher Education,2019,https://www.nber.org/books-and-chapters/productivity-higher-education/learning-and-earning-approximation-college-value-added-two-dimensions,No page number.,,,,,,,,,,,Summer - Kiki,,page-header__intro-inner,11/01/2019,Yes,"Riehl Evan, Juan E. Saavedra and Miguel Urquiola","Riehl Evan, Juan E. Saavedra and Miguel Urquiola. 2019. ""Learning and Earning: An Approximation to College Value Added in Two Dimensions"" in Productivity in Higher Education. Vol. No.: nan: University of Chicago Press."
,Book,46,Gordon,,Hanson,Gordon H. Hanson; William R. Kerr; Sarah Turner,High-Skilled Migration to the United States and Its Economic Consequences,University of Chicago Press,No,,,,May,,,2018,https://www.nber.org/books-and-chapters/high-skilled-migration-united-states-and-its-economic-consequences,,,,,,,,,,,,Summer - Kiki,,page-header__intro-inner,05/01/2018,Yes,"Hanson Gordon H., William R. Kerr and Sarah Turner","Hanson Gordon H., William R. Kerr and Sarah Turner. 2018. High-Skilled Migration to the United States and Its Economic Consequences.: University of Chicago Press."
,Book,46,Gordon,,Hanson,Gordon H. Hanson; Chen Liu,"
High-Skilled Immigration and the Comparative Advantage of Foreign-Born Workers across US Occupations",University of Chicago Press,No,,,,May,,,2018,https://www.nber.org/books-and-chapters/high-skilled-migration-united-states-and-its-economic-consequences/high-skilled-immigration-and-comparative-advantage-foreign-born-workers-across-us-occupations,,,,,,,,,,,,Summer - Kiki,,page-header__intro-inner,05/01/2018,Yes,Hanson Gordon H. and Chen Liu,"Hanson Gordon H. and Chen Liu. 2018. 
High-Skilled Immigration and the Comparative Advantage of Foreign-Born Workers across US Occupations.: University of Chicago Press."
,Book,70,William,R.,Kerr,Gordon H. Hanson; William R. Kerr; Sarah Turner,High-Skilled Migration to the United States and Its Economic Consequences,University of Chicago Press,,,,,,,,2018,https://www.nber.org/books-and-chapters/high-skilled-migration-united-states-and-its-economic-consequences,,,,,,,,,,,,Summer - Maceo,,page-header__intro-inner,01/01/2018,Yes,"Hanson Gordon H., William R. Kerr and Sarah Turner","Hanson Gordon H., William R. Kerr and Sarah Turner. 2018. High-Skilled Migration to the United States and Its Economic Consequences.: University of Chicago Press."
,Book Chapter,16,Sarah,,Dryden-Peterson,Marcelo Suarez-Orozco; Sarah Dryden-Peterson,"Inclusion and Membership through Refugee Education? Tensions 
between policy and practice",University of California Press,No,,,218-231,January,,Humanitarianism and Mass Migration: Confronting the World Crisis,2019,https://www.ucpress.edu/book/9780520297142/humanitarianism-and-mass-migration,,,,,,,,,,,,Summer - Kiki,,,01/01/2019,Yes,Suarez-Orozco Marcelo and Sarah Dryden-Peterson,"Suarez-Orozco Marcelo and Sarah Dryden-Peterson. 2019. ""Inclusion and Membership through Refugee Education? Tensions 
between policy and practice"" in Humanitarianism and Mass Migration: Confronting the World Crisis. Vol. No.: nan: University of California Press."
,Chapter,75,Jocelyn,,Viterna,Kathleen M. Fallon; Jocelyn Viterna,"Gender, the State, and Development",University of California Press,,,,414-449,,,The Handbook of the Sociology of Development,2016,https://scholar.harvard.edu/files/viterna/files/women-democracy-state_0.pdf,,,,,,,,,,,,Summer - Maceo,,pdf,01/01/2016,Yes,Fallon Kathleen M. and Jocelyn Viterna,Skipped
,Journal Article,32,Mashail,,Malik,Niloufer Siddiqui; Mashail Malik,"Political Parties and Violence in Karachi, Pakistan",United States Institute of Peace Special Report,No,56.0,5,726-756,July,,,2022,https://journals.sagepub.com/doi/full/10.1177/00104140221115174,,,,,,,,,,,,Summer - Kiki,,"id=""abstract""",07/01/2022,Yes,Siddiqui Niloufer and Mashail Malik,"Siddiqui Niloufer and Mashail Malik. 2022. Political Parties and Violence in Karachi, Pakistan. United States Institute of Peace Special Report 56.0, no. 5 (July): 726-756."
,Research Paper,72,Dara,Key,Cohen,Dara Kay Cohen; Amelia Hoover Green; Elisabeth Jean Wood,"Wartime Sexual Violence: Misconceptions, Implications, and Ways Forward",United States Institute of Peace,,,,,Febuary,,,2013,https://www.usip.org/publications/2013/02/wartime-sexual-violence-misconceptions-implications-and-ways-forward,,,,,,,,,,,,Summer - Maceo,,,,Yes,"Cohen Dara Kay, Amelia Hoover Green and Elisabeth Jean Wood",Skipped
,Journal Article,101,Meghan,,O'Sullivan,Ms. Nisha Biswal; Ambassador James Dobbins; Senator Joe Donnelly; Ms. Michèle Flournoy; Ms. Susan Gordon; Ambassador Mark Green; Ambassador Marc Grossman; Mr. Stephen J. Hadley; Mr. David Miliband; Ms. Lisa Monaco; Dr. Meghan O’Sullivan; General Curtis Scaparrotti (Ret.); Senator Kelly A. Ayotte; General Joseph F. Dunford Jr. (Ret.); Ms. Nancy Lindborg_x000D_,Afghanistan Study Group Final Report,United States Institute of Peace,,,,,February,,,2021,https://www.usip.org/sites/default/files/2021-02/afghanistan_study_group_final_report_a_pathway_for_peace_in_afghanistan.pdf,,,,,,,,,,,,Summer - Maceo,,pdf,02/01/2021,No,"Biswal Ms. Nisha, Ambassador James Dobbins, Senator Joe Donnelly, Ms. Michèle Flournoy, Ms. Susan Gordon, Ambassador Mark Green, Ambassador Marc Grossman, Mr. Stephen J. Hadley, Mr. David Miliband, Ms. Lisa Monaco, Dr. Meghan O’Sullivan, General Curtis Scaparrotti (Ret.), Senator Kelly A. Ayotte, General Joseph F. Dunford Jr. (Ret.) and Ms. Nancy Lindborg_x000D_","Biswal Ms. Nisha, Ambassador James Dobbins, Senator Joe Donnelly, Ms. Michèle Flournoy, Ms. Susan Gordon, Ambassador Mark Green, Ambassador Marc Grossman, Mr. Stephen J. Hadley, Mr. David Miliband, Ms. Lisa Monaco, Dr. Meghan O’Sullivan, General Curtis Scaparrotti (Ret.), Senator Kelly A. Ayotte, General Joseph F. Dunford Jr. (Ret.) and Ms. Nancy Lindborg_x000D_. 2021. Afghanistan Study Group Final Report. United States Institute of Peace nan, no. nan (February): nan."
,Book,64,Fernando,,Remiers,Fernando Remiers; Renato Opertti,Learning to Build Back Better Future for Education. Lessons fron educational innovation during the COVID-19 pandemic,UNESCO,,,,,January,,,2022,https://unesdoc.unesco.org/ark:/48223/pf0000383825?locale=en,,,,,,,,,,,,Summer - Maceo,,,01/01/2022,Yes,Remiers Fernando and Renato Opertti,Remiers Fernando and Renato Opertti. 2022. Learning to Build Back Better Future for Education. Lessons fron educational innovation during the COVID-19 pandemic.: UNESCO.
,Chapter,64,Fernando,,Remiers,Fernando Remiers,Madrasati e-learning platform ,UNESCO,,,,125-134,December,,Learning to Build Back Better Future for Education,2021,https://unesdoc.unesco.org/ark:/48223/pf0000383825?locale=en,,,,,,,,,,,,Summer - Maceo,,,12/01/2021,Yes,Remiers Fernando,Skipped
,Chapter,76,Jeffry,,Frieden,Jeffry Frieden; J. Lawrence Broz,The Political Economy of International Monetary Policy Coordination,UK: Academic Press,,,,,,,Handbook of Safeguarding Global Financial Stability,2013,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2222828,,,,,,,,,,,,Summer - Maceo,,abstract-text,01/01/2013,Yes,Frieden Jeffry and J. Lawrence Broz,Skipped
,Journal Article,31,Kevin,,Croke,Kevin Croke; Aidan Coville; Eric Mvukiyehe; Caleb Jeremie Dohou; Jean-Paul Zibika; Luca Stanus Ghib; Michele Andreottola; Yannick Lokaya Bokasola; John Paul Quattrochi,"Effects of a Community-driven Water, Sanitation, and Hygiene Programme on COVID-19 Symptoms, Vaccine Acceptance and non-COVID ilnesses: A Cluster-randomized Controlled Trial in Rural Democratic Republic of Congo",Tropical Medicine & International Health,No,27.0,9,795-802,July,,,2022,https://onlinelibrary.wiley.com/doi/10.1111/tmi.13799,,,,,,,,,,,,Summer - Kiki,,,07/01/2022,Yes,"Croke Kevin, Aidan Coville, Eric Mvukiyehe, Caleb Jeremie Dohou, Jean-Paul Zibika, Luca Stanus Ghib, Michele Andreottola, Yannick Lokaya Bokasola and John Paul Quattrochi","Croke Kevin, Aidan Coville, Eric Mvukiyehe, Caleb Jeremie Dohou, Jean-Paul Zibika, Luca Stanus Ghib, Michele Andreottola, Yannick Lokaya Bokasola and John Paul Quattrochi. 2022. Effects of a Community-driven Water, Sanitation, and Hygiene Programme on COVID-19 Symptoms, Vaccine Acceptance and non-COVID ilnesses: A Cluster-randomized Controlled Trial in Rural Democratic Republic of Congo. Tropical Medicine & International Health 27.0, no. 9 (July): 795-802."
,Journal Article,13,Margaret,Anne,McConnell,Margaret A McConnell; R Annetta Zhou; Michelle W Martin; Rebecca A Gourevitch; Maria Steenland; Mary Ann Bates; Chloe Zera; Michele Hacker; Alyna Chien; Katherine Baicker,Protocol for a randomized controlled trial evaluating the impact of the Nurse-Family Partnership's home visiting program in South Carolina on maternal and child health outcomes,Trials,No,21.0,1,997,December,,,2020,https://pubmed.ncbi.nlm.nih.gov/33276816/,,,Is the page number correct?,,,,,,,,,Summer - Kiki,,abstract-content selected,12/01/2020,Yes,"McConnell Margaret A, R Annetta Zhou, Michelle W Martin, Rebecca A Gourevitch, Maria Steenland, Mary Ann Bates, Chloe Zera, Michele Hacker, Alyna Chien and Katherine Baicker","McConnell Margaret A, R Annetta Zhou, Michelle W Martin, Rebecca A Gourevitch, Maria Steenland, Mary Ann Bates, Chloe Zera, Michele Hacker, Alyna Chien and Katherine Baicker. 2020. Protocol for a randomized controlled trial evaluating the impact of the Nurse-Family Partnership's home visiting program in South Carolina on maternal and child health outcomes. Trials 21.0, no. 1 (December): 997."
,Journal Article,118,Shakhar,,Sexana,Mercian Daniel; Pallab K Maulik; Sudha Kallakuri; Amanpreet Kaur; Siddhardha Devarapalli; Ankita Mukherjee; Amritendu Bhattacharya; Laurent Billot; Graham Thornicroft; Devarsetty Praveen; Usha Raman; Rajesh Sagar; Shashi Kant; Beverley Essue; Susmita Chatterjee; Shekhar Saxena; Anushka Patel; David Peiris,An integrated community and primary healthcare worker intervention to reduce stigma and improve management of common mental disorders in rural India: protocol for the SMART Mental Health programme,Trials,,22.0,1,,March,,,2021,https://pubmed.ncbi.nlm.nih.gov/33653406/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,03/01/2021,No,"Daniel Mercian, Pallab K Maulik, Sudha Kallakuri, Amanpreet Kaur, Siddhardha Devarapalli, Ankita Mukherjee, Amritendu Bhattacharya, Laurent Billot, Graham Thornicroft, Devarsetty Praveen, Usha Raman, Rajesh Sagar, Shashi Kant, Beverley Essue, Susmita Chatterjee, Shekhar Saxena, Anushka Patel and David Peiris","Daniel Mercian, Pallab K Maulik, Sudha Kallakuri, Amanpreet Kaur, Siddhardha Devarapalli, Ankita Mukherjee, Amritendu Bhattacharya, Laurent Billot, Graham Thornicroft, Devarsetty Praveen, Usha Raman, Rajesh Sagar, Shashi Kant, Beverley Essue, Susmita Chatterjee, Shekhar Saxena, Anushka Patel and David Peiris. 2021. An integrated community and primary healthcare worker intervention to reduce stigma and improve management of common mental disorders in rural India: protocol for the SMART Mental Health programme. Trials 22.0, no. 1 (March): nan."
,Journal Article,56,Joseph,,Henrich,Damián E Blasi; Joseph Henrich; Evangelia Adamou; David Kemmerer; Asifa Majid,Over-reliance on English hinders cognitive science,Trends in Cognative Sciences,No,26.0,12,1153-1170,December,,,2022,https://pubmed.ncbi.nlm.nih.gov/36253221/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,12/01/2022,Yes,"Blasi Damián E, Joseph Henrich, Evangelia Adamou, David Kemmerer and Asifa Majid","Blasi Damián E, Joseph Henrich, Evangelia Adamou, David Kemmerer and Asifa Majid. 2022. Over-reliance on English hinders cognitive science. Trends in Cognative Sciences 26.0, no. 12 (December): 1153-1170."
